13515528755	2021-9-10	10:30:20 	10:35:21 	120		001	中国移动
13619000021	2021-9-10	10:30:20 	10:35:21	100		002	中国联通
13789367821	2021-9-10	10:30:20 	10:35:21 	100	130	003	中国电信
13866367804	2021-9-10	10:30:20 	10:35:21 	100	130	003	中国电信
13512528751	2021-9-10	11:30:20 	11:35:21 	200	100	001	中国移动
13510328754	2021-9-11	11:30:20 	11:35:21 		100	001	中国移动
13957312844	2021-9-11	11:30:20 	11:35:21 	200	100	001	中国移动
13784537831	2021-9-11	11:30:20 	11:35:21 	140	100	001	中国移动
13805443721	2021-10-5	11:30:20 	11:35:21 	105	100	001	中国移动
13653087422	2021-10-5	14:10:15	14:25:18	130	150	002	中国联通
13658113526	2021-11-5	14:10:15	14:25:18	130	200	002	中国联通
13935977145	2021-11-5	14:10:15	14:25:18	150	200	002	中国联通
13619805021	2021-11-8	14:10:15	14:25:18		200	002	中国联通
13856137819	2021-11-8	14:10:15	14:25:18 	110	150	003	中国电信
13700138756	2021-11-8	14:10:15	14:25:18 	110	150	003	中国电信
