13515872555	2021-9-10	10:30:20	10:35:21	120		001	中国移动
13739567121	2021-9-10	10:30:20	10:35:21	100	130	003	中国电信
13782145821	2021-9-10	10:30:20	10:35:21	100	130	003	中国电信
13619547821	2021-9-10	10:30:20	10:35:21	100		002	中国联通
13514428755	2021-9-10	11:30:20	11:35:21	200	100	001	中国移动
13794237821	2021-9-11	10:30:20	10:35:21	100	130	003	中国电信
13510248754	2021-9-11	11:30:20 	11:35:21 		100	001	中国移动
13976542844	2021-9-11	11:30:20 	11:35:21 	200	100	001	中国移动
13657312526	2021-11-5	14:10:15	14:25:18	130	200	002	中国联通
13946214145	2021-11-5	14:10:15	14:25:18	150	200	002	中国联通
13872537819	2021-11-8	14:10:15	14:25:18 	110	150	003	中国电信
13745218756	2021-11-8	14:10:15	14:25:18 	110	150	003	中国电信
13619205721	2021-11-8	14:10:15	14:25:18	200		002	中国联通
